"harmonic","aspect_degree","dms","name","prime","prime_factorization","natal_definition","transit_definition","harmony_definition","source"
"71","5.070423","5° 04' 14""","—","Yes","71","Prime H71: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"72","5.0","5° 00' 00""","—","No","2^3 × 3^2","Blend of prime factors: H2³ (pressure/polarity) + H3² (ease/flow). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 3^2 quality blend activates at tight orb (<0.22°). Active only at near-exact contact.","2^3 × 3^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"73","4.931507","4° 55' 53""","—","Yes","73","Prime H73: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"74","4.864865","4° 51' 54""","—","No","2 × 37","Blend of prime factors: H2 (pressure/polarity) + H37 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 37 quality blend activates at tight orb (<0.22°). Active only at near-exact contact.","2 × 37 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"75","4.8","4° 48' 00""","—","No","3 × 5^2","Blend of prime factors: H3 (ease/flow) + H5² (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 5^2 quality blend activates at tight orb (<0.21°). Active only at near-exact contact.","3 × 5^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"76","4.736842","4° 44' 13""","—","No","2^2 × 19","Blend of prime factors: H2² (pressure/polarity) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 19 quality blend activates at tight orb (<0.21°). Active only at near-exact contact.","2^2 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"77","4.675325","4° 40' 31""","—","No","7 × 11","Blend of prime factors: H7 (fate/inspiration) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 11 quality blend activates at tight orb (<0.21°). Active only at near-exact contact.","7 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"78","4.615385","4° 36' 55""","—","No","2 × 3 × 13","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 13 quality blend activates at tight orb (<0.21°). Active only at near-exact contact.","2 × 3 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"79","4.556962","4° 33' 25""","—","Yes","79","Prime H79: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"80","4.5","4° 30' 00""","—","No","2^4 × 5","Blend of prime factors: H2^4 (pressure/polarity) + H5 (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^4 × 5 quality blend activates at tight orb (<0.2°). Active only at near-exact contact.","2^4 × 5 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"81","4.444444","4° 26' 40""","—","No","3^4","3⁴: quadrupled trine — overflowing ease, joy, and grace. Extreme pacifism, lushness, aesthetic sensitivity.","Overflowing ease; a gift arrives with no effort required.","3⁴ — quadrupled harmony; the highest trine resonance.","Derived (factor blend)"
"82","4.390244","4° 23' 25""","—","No","2 × 41","Blend of prime factors: H2 (pressure/polarity) + H41 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 41 quality blend activates at tight orb (<0.2°). Active only at near-exact contact.","2 × 41 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"83","4.337349","4° 20' 14""","—","Yes","83","Prime H83: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"84","4.285714","4° 17' 09""","—","No","2^2 × 3 × 7","Blend of prime factors: H2² (pressure/polarity) + H3 (ease/flow) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3 × 7 quality blend activates at tight orb (<0.19°). Active only at near-exact contact.","2^2 × 3 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"85","4.235294","4° 14' 07""","—","No","5 × 17","Blend of prime factors: H5 (creative form) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 17 quality blend activates at tight orb (<0.19°). Active only at near-exact contact.","5 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"86","4.186047","4° 11' 10""","—","No","2 × 43","Blend of prime factors: H2 (pressure/polarity) + H43 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 43 quality blend activates at tight orb (<0.19°). Active only at near-exact contact.","2 × 43 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"87","4.137931","4° 08' 17""","—","No","3 × 29","Blend of prime factors: H3 (ease/flow) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 29 quality blend activates at tight orb (<0.18°). Active only at near-exact contact.","3 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"88","4.090909","4° 05' 27""","—","No","2^3 × 11","Blend of prime factors: H2³ (pressure/polarity) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 11 quality blend activates at tight orb (<0.18°). Active only at near-exact contact.","2^3 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"89","4.044944","4° 02' 42""","—","Yes","89","Prime H89: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"90","4.0","4° 00' 00""","—","No","2 × 3^2 × 5","Blend of prime factors: H2 (pressure/polarity) + H3² (ease/flow) + H5 (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3^2 × 5 quality blend activates at tight orb (<0.18°). Active only at near-exact contact.","2 × 3^2 × 5 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"91","3.956044","3° 57' 22""","—","No","7 × 13","Blend of prime factors: H7 (fate/inspiration) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 13 quality blend activates at tight orb (<0.18°). Active only at near-exact contact.","7 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
